address,name,online_order,book_table,rating,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost,type
"Food Court, Manyata Tech Park, Nagawara, Bangalore",Baskin Robbins,Yes,No,3.7,35,+91 9886981477,Nagawara,Food Court,NA,"Ice Cream, Desserts",250,Delivery
"42, 2nd Cross, P&T Layout, Horamavu Main Road, Banaswadi, Bangalore",Ambujam's Chettinad Mess,Yes,No,3.5,20,"+91 8095900882
+91 7760174747",Banaswadi,"Quick Bites, Mess",NA,"South Indian, Chettinad",400,Delivery
"Opposite Manyata Tech Park, Outer Ring Road, Nagawara, Bangalore",Andhra Biryanis,Yes,No,4.0,469,+91 9611464339,Nagawara,Casual Dining,"Lemon Chicken, Vegetable Biryani","Andhra, North Indian, Chinese, Biryani",550,Delivery
"1253, Near Horamavu Signal, Outer Ring Road, Dodda Banaswadi, Banaswadi, Bangalore",Bhagini,Yes,No,2.3,119,"080 25427999
+91 9886120888",Banaswadi,Casual Dining,NA,"Andhra, South Indian, Chinese, North Indian",800,Delivery
"5th cross, Lakshmanna Layout, Banaswadi, Bangalore",Chinnu's Mane Biryani,Yes,No,3.5,10,+91 9739399097,Banaswadi,Quick Bites,NA,Biryani,300,Delivery
"96/3, HRBR Layout, 2nd Block, 4th Cross, Mariappa Circle, Kalyan Nagar, Bangalore",K.G.N Kabbab Corner,No,No,4.0,83,"080 25458085
+91 9686823099",Kalyan Nagar,Quick Bites,"Mutton Biryani, Rolls, Chicken Roll","North Indian, Kebab",500,Delivery
"19, Kempe Gowda Underpass Road, East of NGEF Layout, Dooravani Nagar, Rammurthy Nagar, Bangalore",Desi Grill,Yes,No,3.0,60,"+91 8105865381
+91 8105385481",Rammurthy Nagar,Quick Bites,NA,"Chinese, North Indian",400,Delivery
"46, 80 Feet Road, Opposite HP Petrol Pump, HBR Layout, Bangalore",Zyara,Yes,No,3.9,191,"+91 9148444441
+91 9148444442",HBR Layout,Casual Dining,"Shawarma, Chicken Grill, Tandoori Chicken, Chicken Curry, Butter Chicken, Kheer, Keema Naan","North Indian, Mughlai, Chinese",650,Delivery
"227, 7th Main, HRBR 2nd Block, 80 Feet Road, Kalyan Nagar, Bangalore",Aroma Spice,Yes,Yes,3.7,83,"+91 7353062999
+91 7353065999",Kalyan Nagar,Casual Dining,"Fish Curry, Fish Thali","Andhra, Chinese, North Indian, Seafood",800,Delivery
"118, Outer Ring Road, Kallumantapa, Horamavu, Banaswadi, Bangalore",Le Spice Restaurant,Yes,No,3.4,122,"+91 9663364526
080 25420005",Banaswadi,Casual Dining,NA,"Arabian, Kerala, North Indian, Chinese, Beverages",700,Delivery
"3&4, Goddalahalli, Main Road, Hennur, Bangalore",Kadai Restaurant,Yes,No,2.9,27,+91 9481811099,Hennur,Quick Bites,NA,"North Indian, Mughlai, Chinese",350,Delivery
"Near Sena Vihar, Kammanahalli Main Road, Kammanahalli, Bangalore",Pathaan Sir,Yes,No,3.3,58,080 41611622,Kammanahalli,Quick Bites,"Rolls, French Fries, Paratha","Rolls, Chinese",300,Delivery
"407, 1st Floor, 4th Main, Kammanahalli Main Road, Kammanahalli, Bangalore",Hyderabad Biryaani Palace,Yes,No,3.7,301,+91 7090525252,Kammanahalli,Casual Dining,Hyderabadi Biryani,"Biryani, Hyderabadi, Chinese",750,Delivery
"4C, 525 2nd Block Extension, CMR Road, Kalyan Nagar, Bangalore",Kesar Sweet Shop And Fast Food,No,No,3.9,47,+91 7338581113,Kalyan Nagar,Quick Bites,"Chole Bhature, Chaat, Jalebi, Kulfi, Rasgulla","North Indian, South Indian, Chinese, Street Food, Mithai",500,Delivery
"1st Floor, L.G.R. Complex, Chelekere Ring Road, Kalyan Nagar, Bangalore",Delicacy,Yes,Yes,4.1,448,080 45128596,Kalyan Nagar,Casual Dining,"Noodles, Momos, Bbq Pork, Honey Chilli Potatoes, Wonton, Pork Momo, Sweet Corn Soup","Chinese, Thai, Momos",500,Delivery
"3/1, 202-AC, Ground Floor, 2nd Main, Kasturinagar",Jambudweepa Juice Bar,Yes,No,3.8,24,+91 8310742012,Banaswadi,Beverage Shop,NA,"Beverages, Healthy Food",150,Delivery
"Kammanahalli, Bangalore",Kettle & Kegs,Yes,No,2.9,9,1.80E+11,Kammanahalli,Delivery,NA,"Tea, Beverages",200,Delivery
"2 & 3, 22/85, 4th Cross, Munivenkatappa Layout, Nagawara, Bangalore",Pizza Baker's,Yes,No,3.3,17,"+91 6281959891
+91 8019339108",Nagawara,Quick Bites,NA,"Pizza, Burger, Fast Food, Beverages",450,Delivery
"3, Chairman Layout, Banaswadi Main Road, Banaswadi, Bangalore",Sri Banashankari Donne Biriyani,Yes,No,3.8,74,+91 9980095348,Banaswadi,Quick Bites,NA,Biryani,150,Delivery
"116, Horamavu Signal, Banaswadi Area, Banaswadi, Bangalore",Sri Durga Nellore Mess,Yes,No,3.3,351,+91 9243119927,Banaswadi,Mess,"Chicken Fry, Masala Prawn","Andhra, South Indian, Biryani",350,Delivery
"202, 4th Main Road 2nd A Cross, OMBR Layout, Banaswadi, Bangalore",Mystery House,Yes,No,3.4,6,080 49653024,Banaswadi,Quick Bites,NA,Fast Food,300,Delivery
"Ground Floor, MFAR, Manyata Tech Park, Phase 4, Nagawara, Bangalore",Serranos Mexican Grill,Yes,No,3.7,86,"+91 7022660041
+91 9741554424",Nagawara,Quick Bites,"Burrito Bowl, Tacos, Salad, Salads, Steak, Lemonade, Fish",Mexican,400,Delivery
"4C-319, 4th Main,Opposite Shiva Parvati Kalyanamantapa, OMBR Layout, Banaswadi, Bangalore",Global Flavors,Yes,Yes,3.5,131,"080 43333663
+91 9513133773",Banaswadi,Casual Dining,Pizza,"North Indian, Fast Food, Beverages",1000,Delivery
"Vyalikaval HBCS Layout, Near JMJ Hospital, Nagawara, Bangalore",Kitchen King,Yes,No,3.8,306,+91 7026555000,Nagawara,Quick Bites,Shawarma,"Rolls, Fast Food, Biryani",400,Delivery
"18, 7th Main, 80 Feet Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",New Kadai,Yes,No,3.4,23,+91 9342875724,Kalyan Nagar,Casual Dining,NA,"North Indian, Chinese",550,Delivery
"10, Next To Manyata Tech Park, Outer Ring Road, Nagawara, Bangalore",Biriyani House,Yes,No,3.7,600,"00 918050090066
00 918050090077",Nagawara,Casual Dining,"Butter Naan, Hyderabadi Biryani, Tandoori Chicken, Butter Chicken, Chicken Dum Biryani, Vegetable Biryani, Chicken Boneless Biryani","Andhra, North Indian, Biryani, Beverages",600,Delivery
"2, Erappe Reddy Complex, Banaswadi Main Road, Banaswadi, Bangalore",Ranga's Paradise,Yes,No,3.3,38,+91 9844867564,Banaswadi,Quick Bites,NA,South Indian,150,Delivery
"285, 10th Main, 100 Feet Road, Ankanna Reddy Layout, Doddabanswadi, Next to Andhra Bank, Banaswadi, Bangalore",M.M.A Kabab Rolls & Biriyani Center,Yes,No,3.6,92,"00 8050581466
00 9535771031",Banaswadi,Quick Bites,"Shawarma, Alpham Chicken, Chicken Grill","Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery
"Near Manyata Tech Park, Nagawara, Bangalore",Hotel Kakatiya,Yes,No,3.7,49,"+91 7989839220
+91 9000222906",Nagawara,Quick Bites,NA,"Andhra, North Indian, Chinese, Biryani",350,Delivery
"7,100 Feet Road, Muniswami Reddy Layout, Tillak Nagar, Banaswadi, Bangalore",Momma's Pastries Fine Bakery And Cafe,Yes,No,3.4,10,+91 9035432208,Banaswadi,Bakery,NA,"Bakery, Desserts, Fast Food",500,Delivery
"7th Main Road, 1st Block, HRBR Layout, Kalyan Nagar, Bangalore",2 Statez,Yes,No,3.7,209,"+91 9591896502
+91 9986532995",Kalyan Nagar,Casual Dining,"Fish Curry, Buttermilk, Appam, Neer Dosa, Chicken Stew, Chicken Curry, Egg Roast","Kerala, Seafood, South Indian, North Indian, Chinese",600,Delivery
"#4, C- 118 OMBR LAYOUT, NEXT TO HDFC BANK, SIZZLING SZECHUAN BANASWADI, BANGALORE",Hongkong Noodles,Yes,No,3.8,80,"+91 8553000355
+91 8040988199",Kalyan Nagar,Casual Dining,"Noodles, Momos",Chinese,750,Delivery
"2/1, Next To Maruti Medicals, Jayamma Complex, Near Bus Stop, Nagawara, Bangalore",D-Zaprino,Yes,No,0.0,0,+91 9916957618,Nagawara,"Takeaway, Delivery",NA,"Fast Food, Burger, Pizza",350,Delivery
"5M- 624/3, OMBR Layout, Banaswadi, Bangalore",Cafezone,Yes,No,3.7,27,"+91 7022960105
+91 8135060610",Banaswadi,Quick Bites,NA,"Burger, Fast Food, Beverages",250,Delivery
"42, OMBR Layout Main Road, Near Reliance Fresh, Banaswadi, Bangalore",Curries & Chillies,Yes,No,3.3,19,+91 9902618460,Banaswadi,"Takeaway, Delivery",NA,"Andhra, Biryani, Chinese",300,Delivery
"401, Ground Floor, Next to Murali Gas Agency, 5th Main, CMR Road, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Chaat Street,Yes,No,4.1,498,080 42242288,Kalyan Nagar,Quick Bites,"Chaat, Pav Bhaji, Paratha, Lassi, Panipuri, Dahipuri, Bhel Puri","Street Food, North Indian",250,Delivery
"62 Ramamurthy Nagar Main Road, Banaswadi (Next to Indian Bank) Bangalore",29 Degrees North,Yes,No,3.9,283,"0948 1212929
080 25422929",Banaswadi,Quick Bites,"Chaat, Paratha, Vada Pav, Dal Makhani, Paneer Bhurji, Rabri, Kulcha","North Indian, Fast Food, Street Food",250,Delivery
"8, Ramamurthi Nagar Main Road, RR Layout, Rammurthy Nagar, Bangalore",Dr. Harry's Chick Blast,Yes,No,3.5,26,"+91 9611596784
+91 7090129000",Rammurthy Nagar,Quick Bites,NA,Continental,500,Delivery
"K-1A, 4th Floor, MSR Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",Smoke - The Sizzler House,Yes,No,2.8,100,"+91 9980950767
+91 9742355447",Nagawara,Food Court,"Pasta, Schezwan Chicken, Burgers, Garlic Bread, Paneer Steak, Schezwan Sizzler","Continental, North Indian, Chinese, Steak",800,NA
"Opposite Manyatha Tech Park, Beside Honda Service Centre, Nagawara, Bangalore",Aroma's Hyderabad House,Yes,No,4.2,533,"+91 8970588888
+91 8970688888",Nagawara,Casual Dining,"Vegetable Biryani, Hyderabadi Biryani, Chicken Dum Biryani, Raita, Chicken Boneless Biryani, Mutton Biryani, Paneer Biryani","Mughlai, Biryani, North Indian",800,Delivery
"18, 2nd H Cross, Dodda Banaswadi Main Road, Near Post Office, Banaswadi, Bangalore",American Desserts,Yes,No,3.6,23,+91 9686415784,Banaswadi,"Takeaway, Delivery",NA,"Desserts, Bakery",500,Delivery
"653,/2, Annaiah Reddy Layout, 100 Feet Road, Banaswadi, Bangalore",Sufi Restaurant & Cafe,Yes,No,3.7,105,"+91 7676243366
+91 7760177991",Banaswadi,Casual Dining,NA,"Iranian, Mughlai, Chinese",800,Delivery
"2, Ground Floor, Kammanahalli Main Road, Jal Vayuvihar Circle, Kammanahalli, Bangalore",Chickpet Donne Biryani House,Yes,No,3.8,185,"+91 7204999711
+91 8197844481",Kammanahalli,Quick Bites,"Mutton Biryani, Donne Biryani, Mutton Fry, Chicken Guntur, Chicken Biryani",Biryani,250,Delivery
"703, 3rd Cross, 1st Block, Hrbr layout, Kalyan Nagar, Bangalore",Dhadoom,Yes,No,3.8,22,+91 7829988552,Kalyan Nagar,Quick Bites,NA,Fast Food,400,Delivery
"G1, Mfar Manyatha Tech Park, Thanisandra, Nagawara, Bangalore",Hatti Kaapi,Yes,No,3.6,33,"+91 9591239077
+91 8884237938",Nagawara,Quick Bites,NA,"South Indian, Beverages",200,Delivery
"HRBR layout, 5AC 430,5th A cross , service road 2nd block ,Close to Girias, Ring Road, Kalyan Nagar, Bangalore",Mainland China,Yes,Yes,4.5,1013,080 49652123,Kalyan Nagar,Casual Dining,"Noodles, Jumbo Prawns, Lunch Buffet, Crispy Corn, Chicken Dim Sum, Brownie, Sea Food","Chinese, Momos",1100,Delivery
"355, 3rd C Main Road, OMBR Layout, Bennigana Halli, Banaswadi, Bangalore",T-hut Cafe,Yes,No,3.6,21,+91 9686111990,Banaswadi,Quick Bites,NA,"Chinese, Beverages",300,Delivery
"Opposite Kristu Jayanthi College, Hennur, Bangalore",Kolkata Famous Kati Rolls,Yes,No,3.8,53,+91 8277074397,Hennur,Kiosk,NA,"Fast Food, Rolls",100,Delivery
"5C/501, George Court, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",Khyma Biryani,Yes,No,3.9,240,080 48904210,Kalyan Nagar,Casual Dining,"Mutton Biryani, Lemon Tea, Chicken Dry Fry, Kerala Style Biryani, Malabari Biryani, Lemon Chicken, Biryani Combo",Biryani,600,Delivery
"115, Next To Big Bazaar, Service Road, Vijaya Bank Colony, Banaswadi, Bangalore",Kolkata Rolls & Chowmein,Yes,No,3.5,35,+91 9738266059,Banaswadi,Quick Bites,NA,Rolls,100,Delivery
"33, 1st Floor, Horamavu Main Road, Banaswadi Area, Banaswadi, Bangalore",Chung Wah,Yes,No,3.3,145,"080 40926612
080 40926780",Banaswadi,Casual Dining,"Noodles, Chowmein, Chicken Lollipop, Manchow Soup","Chinese, Thai, Momos, Vietnamese",900,Delivery
"11/12, 1st Floor, Raghu Building, 1st Cross, Horamavu Main Road, Banaswadi, Bengaluru",Sri Ruchi Restuarant,Yes,No,3.7,71,080 42255511,Banaswadi,Casual Dining,Mutton Biryani,"Andhra, South Indian, North Indian",450,Delivery
"414, CMRC Road, 4th Cross, HRBR Layout, Kalyan Nagar, Bangalore",Olive Garden,Yes,No,3.7,214,"080 25429055
080 25420552",Kalyan Nagar,Casual Dining,"Shawarma, Al Faham Chicken, Noodles, Mutton Chops, Chicken Grill, Sweet Lassi, Biryani","Arabian, North Indian, Chinese, Beverages",700,Delivery
"JBJ Complex, Service Road, 5th Block, HRBR Layout, Nagawara Circle, Nagawara, Bangalore",Spice Corner,Yes,Yes,3.5,16,"+91 9986592727
+91 9844248958",Nagawara,Casual Dining,NA,"North Indian, Chinese, Biryani",800,Delivery
"5AC-418, First Floor, 5A Cross, Second Stage, HRBR Layout, Kalyan Nagar, Bangalore",Mani's Dum Biryani,Yes,No,3.5,119,+91 9606441699,Kalyan Nagar,Casual Dining,"Biryani, Raita","Biryani, Kebab",750,Delivery
"Shop #417, Ground Floor, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Chichaba's Taj,Yes,No,3.8,289,"+91 7899858585
+91 7899677677",Kalyan Nagar,Casual Dining,"Mutton Biryani, Ghee Rice, Butter Chicken, Dal Tadka, Naan, Paya Soup, Bheja Fry","Biryani, North Indian, Mughlai",600,Delivery
"2, Outer Ring Road, Rammurthy Nagar, Bangalore",Tamarind,Yes,No,2.7,227,080 43529999,Rammurthy Nagar,Casual Dining,"Fish, Chicken Biryani, Butter Naan, Dal Makhani, Fries, Hyderabadi Chicken, Vegetable Biryani","Chinese, North Indian, Continental",750,NA
"80, Near Empire Restaurant, Nehru Main Road, Kammanahalli, Bangalore",Sreeraj Lassi Bar,Yes,No,4.0,120,+91 7204407808,Kammanahalli,"Dessert Parlor, Beverage Shop","Kulfi, Sweet Lassi, Pineapple Lassi, Rose Faluda","Beverages, Desserts, Juices",150,Delivery
"39, Yadava Layout, Arvindnagar, Near Honest Bakery, Kammanahalli, Bangalore",Rahhams,Yes,No,3.5,312,080 25808700,Kammanahalli,Casual Dining,"Mutton Biryani, Jeera Rice, Chicken Sholay, Chicken Biryani, Mutton Chops, Kheer, Phirni","Mughlai, North Indian, Chinese",700,Delivery
"419, 7th Main Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",Spice Kitchen,Yes,Yes,3.9,321,"080 48668588
+91 9741825689",Kalyan Nagar,Casual Dining,"Andhra Thali, Veg Thali, Chicken Biryani, Kodi Pulao, Mutton Soup, Ulavacharu Mutton Biryani, Lassi","Andhra, Biryani, Seafood, North Indian",750,Delivery
"403, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",The Juice Shop - Juicery And Kitchen,Yes,No,3.9,39,+91 8296399316,Kalyan Nagar,Quick Bites,"Burgers, Lamb Burger, Sandwiches, Brownie, Churros, Hot Dog, Chocolate Cake","Beverages, Fast Food, Bakery",300,NA
"382, Byreveshware Complex, Outer Ring Road, Next To-Manyatha Tech Park, Nagawara, Bangalore",Sri Sai 99 Variety Dosa,Yes,No,3.7,27,+91 9886783592,Nagawara,Quick Bites,NA,South Indian,200,Delivery
"412, 4th Cross, CMR Road, 2nd Block HRBR Layout, Kalyan Nagar, Bangalore",Roll Over,Yes,No,4.1,174,"+91 9844551999
+91 9886631196",Kalyan Nagar,Dessert Parlor,"Ice Cream Roll, Rolls, Chocolate Ball, Oreo Overload, Fries, Choco Chip Cookies, Mango Roll","Ice Cream, Beverages, Fast Food",500,Delivery
"12, Opposite Hennur Bus DPO, Hennur, Bangalore",SV Indian Restaurant,Yes,No,3.5,13,"080 40927191
+91 9611302966",Hennur,Quick Bites,NA,"North Indian, Chinese",400,Delivery
"Opposite To Kristu Jayanti College, K Narayanapura, Hennur, Bangalore",Zamorin's Mappillah Biryani,No,No,0.0,0,+91 8848183138,Hennur,"Takeaway, Delivery",NA,Biryani,400,Delivery
"30, B.R.Plaza, 4th Floor, 4th Cross, CMR Road, HRBR Layout, Kalyan Nagar, Bangalore",Brewklyn Microbrewery,Yes,Yes,4.4,2329,080 49653123,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Beef Chilli, Craft Beer, Apple Crumble, Pork Chilli, Chips, Wheat Beer","American, South Indian, Thai, Pizza, Italian",1400,Delivery
"229, Third Floor, 7th Main Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",Teburu,Yes,No,4.4,203,"+91 8884493003
+91 9738747693",Kalyan Nagar,Casual Dining,"Sushi, Mocktails, Maki Roll, Salad, Dynamite Roll, Scallops, Set Menu","Asian, Chinese, Japanese, BBQ",800,Delivery
"3157, 2nd Block, Near Petrol Pump, HBR Layout, Bangalore",Aqni,Yes,No,3.9,358,"+91 9900918842
080 25433334",HBR Layout,Casual Dining,"Kheer, Butter Chicken, Kebab Manchurian, Raita, Rolls, Chicken Rara, Brain Pepper Fry","North Indian, Mughlai, Biryani, Rolls",650,Delivery
"403, Mariappa Road, Off Kammanahalli Main Road, Near Sena Vihar, Kammanahalli, Bangalore",OKI,Yes,Yes,4.5,418,080 49652158,Kammanahalli,Casual Dining,"Khau Suey, Ravioli, Pork Ribs, Basil Pannacotta, Tender Coconut Ice Cream, Mocktails, Sushi","Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",1200,NA
"7m-424, HRBR Layout, 1st Block, 80 Feet Road, Kalyan Nagar, Bangalore",Float Brewery,No,Yes,4.3,416,080 33512989,Kalyan Nagar,"Microbrewery, Casual Dining","Pork Tonkatsu, Mocktails, Ginger Pork, Craft Beer, Wheat Beer, Falafel Burger, Brewed Beer",European,1800,NA
"49/83/5, Ground Floor, Outer ring Road, Near Manyata Tech Park, Nagawara, Bangalore",Swagatham Delux - Rayalaseema Spices,Yes,No,3.4,24,"+91 9513000884
+91 9513000885",Nagawara,Casual Dining,NA,"Biryani, South Indian, Chinese",600,Delivery
"Shop 535/1, Ground Floor, GB Grace Town, Safir Mansion, Hennur Main Road, Kalyan Nagar, Bangalore",Awesome Biryani,No,No,0.0,0,+91 9591352916,Kalyan Nagar,"Takeaway, Delivery",NA,"Biryani, Fast Food, Mughlai",500,Delivery
"Shop 57/2, Hennur Depot, HP Petrol Pump, 2nd Cross, Opposite SBI Bank, KK Halli, Kammanahalli, Bangalore",Coorg Lunch Home,Yes,No,3.6,57,"+91 9738848168
+91 9980800398",Kammanahalli,Quick Bites,NA,South Indian,300,Delivery
"Mathrushee Complex, Maruthi Layout, Behind Relience Fresh, Hennur Cross, Bengaluru., Hennur, Bangalore",Thalassery Plaza,Yes,No,3.6,30,"+91 8025431111
+91 7411185111",Hennur,Quick Bites,NA,"Kerala, North Indian, Chinese",400,Delivery
"59, 10th Cross,10th Main, 4th Block, Maruthi Layout, HBR Layout, Bangalore",Naina Nand Food Express,Yes,No,3.3,8,"+91 9731197347
+91 8546834979",HBR Layout,Quick Bites,NA,"North Indian, Chinese",300,Delivery
"Shop 23, 4th Cross, Above Reliance Fresh, OMBR layout, Banaswadi, Bangalore",Noodles,Yes,No,3.8,98,+91 8042098166,Banaswadi,Casual Dining,"Hakka Noodles, Pork Momo, Veg Momos, Chicken Manchurian, Chicken Momo, Chop Suey, Chilli Chicken","Chinese, Momos",500,Delivery
"214, First Floor, 5th Main, B Cross, HRBR Layout, Kammanahalli, Bangalore",Huko Mukho Hangla,Yes,No,4.0,175,"+91 7506122850
+91 9591418658",Kammanahalli,Quick Bites,"Fish, Mutton Kasha, Mutton Curry, Mutton Kosha, Mutton Thali, Doi Katla, Aalo Bhaja","Bengali, Seafood",400,Delivery
"420, 5th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",7 Plates,Yes,No,3.6,519,"+91 7829774447
+91 7829779997",Kalyan Nagar,Casual Dining,"Rolls, Mutton Biryani, Jumbo Chicken Roll, Butter Chicken, Kheer, Tangdi Kabab, Tandoori Chicken","North Indian, Mughlai, Rolls, Fast Food",600,Delivery
"Plot 30, 3rd Cross, 5th Main Road, 2nd block, HRBR Layout, Kalyan Nagar, Bangalore",Kanthari,Yes,No,3.9,93,080 48508667,Kalyan Nagar,Quick Bites,"Fish Fry, Chicken Curry, Duck Roast, Kerala Style Biryani","North Indian, Kerala, Chinese",400,Delivery
"2116, 4th Cross, CMR Road, 2nd Block, Kalyan Nagar, Bangalore",Donne Biriyani Mane,Yes,No,3.7,220,080 41313132,Kalyan Nagar,Quick Bites,Biryani,"Biryani, Kebab",400,Delivery
"2075, 4th Cross Road, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",The Feast Fries,Yes,No,0.0,0,+91 9980100029,Kalyan Nagar,Quick Bites,NA,Fast Food,200,Delivery
"Ground Floor, Mfar Holdings PVT. LTD, Phase 4, MS Ramaiah North City, Manyata Tech Park, Nagawara, Bangalore",Madurai Canteen,Yes,No,2.9,38,"+91 9066867248
+91 9886786010",Nagawara,Quick Bites,NA,"Chettinad, South Indian",200,Delivery
"2, Maruthi Towers, 9th B Main, Chairmans Layout, 100 Feet Road, Banaswadi, Bangalore",Saffron Vegetarian Cuisine,Yes,Yes,4.0,667,080 49653428,Banaswadi,Casual Dining,"Tikka, Biryani, Salad, Pasta, Masala Papad, Palak Paneer, Garlic Naan","North Indian, Continental, Chinese, Mexican, Italian",700,Delivery
"3C 611, 2nd Cross, 6th A Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Cafe P Square,Yes,No,3.8,26,+91 9742449082,Kalyan Nagar,Quick Bites,NA,"Street Food, Beverages, Fast Food",250,Delivery
"402, 4th Cross, Kalyan Nagar, Bangalore",China Pearl,Yes,No,4.1,155,080 41323338,Kalyan Nagar,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Hakka Noodles, Momos, Prawn, Spring Roll, Crabmeat Soup","Chinese, Momos",1100,Delivery
"9, Babasapalya Main Road, Kalyan Nagar, Bangalore",Indie Fusion Multi Cuisine Restaurant,No,No,3.3,4,"+91 9742488885
+91 9886435740",Kalyan Nagar,Quick Bites,NA,"Fast Food, BBQ, Rolls, Arabian, North Indian",400,Delivery
"80 Feet Road, Subbianaipalya, Opposite Patil Public School, Kalyan Nagar, Bangalore",Manasa Fishland,Yes,No,4.1,201,"080 25453965
+91 7090913399",Kalyan Nagar,Casual Dining,"Sea Food, Prawn Ghee Roast, Fish Curry, Neer Dosa, Murgh Ghee Roast, Chicken Thali, Crab Ghee Roast","Seafood, South Indian, North Indian",650,Delivery
"502, 4th C Cross, HRBR Layout 2nd Block Extension, Kalyan Nagar, Bangalore",Wokanaka - The Casual Chinese Pitstop,Yes,Yes,4.1,223,"+91 7673910002
080 41640002",Kalyan Nagar,Casual Dining,"Lemonade, Manchurian, Vegetable Noodles, French Fries, Veg Hakka Noodles","Asian, Chinese, Thai, Seafood, Momos",500,Delivery
"414, 5th D Main Road, HRBR Layout 2nd Block, Kalyan Nagar, Bangalore",Maraheb Restaurant,Yes,No,4.2,219,"+91 9606247247
080 42001325",Kalyan Nagar,Casual Dining,"Kunafa, Tea, Mutton Madfoon, Mutton Ribs, Salad, Lamb Ribs, Arabic Cuisine",Arabian,1000,Delivery
"2075, 4th Cross, 2nd Block, HRBR Layout Kalyan Nagar, Bangalore",Beijing Bites,Yes,No,0.0,0,+91 8197215995,Kalyan Nagar,Casual Dining,NA,"Chinese, Thai",850,Delivery
"100G, Opposite Grace Apartments, Hennur Road, Kalyan Nagar, Bangalore",Paradox Rest-O-Cafe,Yes,No,3.7,124,"080 41108043
+91 9886157231",Kalyan Nagar,Casual Dining,"Sandwiches, Beer, Sandwich, Lasagne, Minotaur Steak, Dorai Chicken, Lemonade","Continental, Steak",600,NA
"644, 4th Main, OMBR Layout, Banaswadi, Bangalore",Kenny's Restaurant,Yes,No,3.4,38,+91 9742833448,Banaswadi,Quick Bites,NA,Chinese,450,Delivery
"84, Jayalakshmi Building, Kammanahalli Main Road, Kammanahalli, Bangalore",Anand Sweets and Savouries,Yes,No,4.0,99,"080 25435884
080 40942087",Kammanahalli,Quick Bites,"Chaat, Raj Kachori, Dhokla, Rasmalai, Paratha, Chole, Pav Bhaji","Mithai, Street Food",400,Delivery
"401, 5th Main, 2ND Block, HRBR Layout, Kalyan Nagar, Bangalore",The ThickShake Factory,No,No,4.1,107,"+91 7338164471
+91 9916676544",Kalyan Nagar,Beverage Shop,Thick Shakes,"Beverages, Juices",350,Delivery
"5AC-995, 1st Block, HRBR Layout, Outer Ring Road, Kalyan Nagar, Bangalore",The French Corner,No,No,3.4,10,"+91 9341990044
+91 9341990022",Kalyan Nagar,"Bakery, Dessert Parlor",NA,"Bakery, Desserts, Fast Food",400,Delivery
"G9, Outer Ring Road, Beside HDFC Bank, Manyata Tech Park, Nagawara, Bangalore",Punjab Bistro,Yes,No,4.0,165,080 46558829,Nagawara,Casual Dining,"Makke Ki Roti, Paratha, Lassi, Panneer Butter Masala, Rajma Chawal, Dal Makhani, Chicken Tikka",North Indian,500,Delivery
"41, Ramamurthy Nagar Main Road, Rammurthy Nagar, Bangalore",Hotel The Shack,Yes,No,3.9,116,080 41211469,Rammurthy Nagar,Casual Dining,"Mocktails, Butter Chicken, Seekh Kebab","North Indian, Biryani",1000,Delivery
"Near Elements mall Thanisandra Main Road, Nagawara, Bangalore",Night Food Joint,Yes,No,2.9,619,"+91 7411228242
+91 7022443180",Nagawara,Quick Bites,Panneer Butter Masala,"North Indian, Chinese",500,NA
"Shop number 2, Number 59, 4th Cross, Muninajapa Layout, Rammurthy Nagar, Bangalore",Art of Biryani & Curries,Yes,No,3.4,9,+91 9538910870,Rammurthy Nagar,Delivery,NA,Biryani,250,Delivery
"2nd Floor, 5M-402/A, HRBR 2nd Block, 5th Main Road, Kalyan Nagar, Bangalore",Vera Italiano,Yes,No,4.1,198,080 41523338,Kalyan Nagar,Casual Dining,"Pasta, Tiramisu, Tomato Soup, Carbonara, Chicken Lasagne, Strawberry Cheesecake, Salad",Italian,600,Delivery
"Opposite Element Mall, Nagawara, Bangalore",Punjabi Tadka,Yes,No,3.4,31,+91 9611780959,Nagawara,Quick Bites,NA,"North Indian, Chinese",400,Delivery
"4, Opposite Lumbini Garden, Service Road, Veerannapalya, Outer Ring Road, Nagawara, Bangalore",Rasapoorna,Yes,No,3.2,6,"+91 9741590333
+91 9741745333",Nagawara,Casual Dining,NA,"Andhra, Chinese, North Indian",500,Delivery
