,address,name,online_order,book_table,rating,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost,type
45025,"1, Outer Ring Road, Marathahalli, Bangalore",Lemon - The Lounge Bar,No,No,3.1 /5,12,"080 43111558
+91 9663571144",Marathahalli,Casual Dining,NA,"North Indian, Biryani, Chinese",800,Dine-out
45050,"Beside HP Petrol Bunk, Doddenakudi, Marathahalli, Bengaluru",Kofabell,No,No,3.2 /5,4,+91 8197427263,Marathahalli,Casual Dining,NA,North Indian,500,Dine-out
45070,"20/6, Narayan Swamy Building, Kadabesanahali, JP Morgan, Marathahalli, Bangalore",Pizza Hut,Yes,No,2.8 /5,148,080 43406666,Marathahalli,Quick Bites,"Garlic Bread, Veggie Pizza","Pizza, Fast Food",750,Dine-out
45086,"36/1, Kadubeesanahalli Village, Opposite JP Morgan, Outer Ring Road, Marathahalli, Bangalore",Domino's Pizza,Yes,No,3.9 /5,262,"080 25639350
18602100000",Marathahalli,Quick Bites,"Pizza, Peppy Paneer","Pizza, Fast Food",400,Dine-out
45103,"21/1 58, Car Mansion, Marathahalli Main Road, Marathahalli, Bangalore",Kabab Mirchi,No,No,3.6 /5,104,"080 25400809
+91 9379656565",Marathahalli,Quick Bites,"Chicken Grill, Rose Milk, Pulpy Grape Juice, Shawarma Roll, Chicken Wings, Rolls, Butter Chicken","North Indian, Mughlai, Chinese",350,NA
45109,"Home Town, Outer Ring Road, Marathahalli, Bangalore",Eat Eroo - South China,Yes,No,3.8 /5,370,"+91 8970222000
+91 9036700012",Marathahalli,Quick Bites,"Dabeli, Veg Manchow Soup, Momos, Hakka Noodles, Egg Roll, Rolls, Dragon Chicken","South Indian, Chinese",350,Dine-out
45112,"21/1 58, Car Mansion, Opposite to Doddanekundi Cross, Near Balaji Cycle Store, Marathahalli Main Road, Marathahalli, Bangalore",Kabab Mirchi,No,No,3.2 /5,4,"+91 9845732586
+91 8088885252",Marathahalli,Quick Bites,NA,"North Indian, Chinese, Mughlai",300,Dine-out
45131,"28, Balaji Layout, SGR Temple College Road, Munnepolala, Marathahalli, Bangalore",Andhra Ruchulu,No,No,3.4 /5,5,+91 9206590525,Marathahalli,Quick Bites,NA,"Andhra, Chinese",400,Dine-out
45135,"389/2, PN Plaza, Munnekola Road, RJS Road, Marathahalli, Bangalore",Madurai Idly Shop,No,No,2.9 /5,69,080 31922214,Marathahalli,Quick Bites,"Idli, Vada, Pongal, Onion Rava Dosa",South Indian,200,Dine-out
45138,"1, Opossite Manacharisma, Bellandur Post, Kadubeesenahalli, Panathur, Marathahalli, Bangalore",Biriyani & Kabab Corner,No,No,NEW,0,+91 7619453744,Marathahalli,Quick Bites,NA,"Biryani, North Indian, Chinese",350,Dine-out
45142,"SGR Dental College Road, Marathahalli, Bangalore",Five Star Chicken,No,No,2.9 /5,49,NA,Marathahalli,Quick Bites,NA,"Fast Food, Burger",300,Dine-out
45155,"Shop, 37/5, Shantiniketan, Munnekolala, Marathahalli, Bangalore",Ashirvad Resturant,No,No,3.2 /5,7,+91 9036799105,Marathahalli,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
45159,"92/3, Outer Ring Road, Near Home Town, Marathahalli, Bangalore",Chef Baker's,Yes,No,3.5 /5,100,"+91 7406267771
+91 8880404444",Marathahalli,"Bakery, Quick Bites","Burgers, Chocolate Cake",Bakery,450,Dine-out
45163,"L Narayana Reddy Main Road, Kondappa Layout, Vignan Nagar, Doddanekkundi, Marathahalli, Bangalore",Art Of Flavours,No,No,NEW,0,+91 8867331743,Marathahalli,Quick Bites,NA,Fast Food,200,Dine-out
45165,"8,Srikar Arcade Opp Total Mall, Marathahalli, Bangalore",Basaveshwara Khanavali,No,No,3.5 /5,6,+91 9945147246,Marathahalli,Quick Bites,NA,South Indian,400,Dine-out
45192,"389/2, JMR Complex, SGR DentalCollege Road, Marathahalli, Bangalore",Madurai Idli Dosa Shop,No,No,3.6 /5,63,+91 9845764014,Marathahalli,Quick Bites,"Idli, Plain Dosa",South Indian,150,Dine-out
45224,"Beside Arena Mall, Outer Ring Road, Opposite BCBP Tech Park, Doddanekundi, Bangalore",99Foods,No,No,3.4 /5,32,"+91 7619197359
+91 9663662383",Marathahalli,Quick Bites,NA,"Biryani, North Indian, Chinese, Kebab",400,Dine-out
45261,"2, SGR Dental Collage Road,Munnekolala, Marathahalli, Bangalore",Hotel Jai Jaganath,No,No,3.2 /5,4,"+91 8050562505
+91 8105198612",Marathahalli,Quick Bites,NA,"Chinese, North Indian",500,Dine-out
45263,"4th Cross, Thulasi Theatre Road, Marathahalli, Bangalore",Om Sai Dham Bombay Hotel,No,No,3.6 /5,19,"+91 9341601876
+91 9480707415",Marathahalli,Quick Bites,NA,North Indian,200,Dine-out
45272,"S77, Saraswathi Nilayam, 2nd Main Road, RJ Gardens, Marathahalli, Bangalore",Jordan Food Corner,No,No,NEW,0,+91 7045761019,Marathahalli,Quick Bites,NA,"North Indian, Fast Food",200,Dine-out
45273,"17, CRN Complex, Near MVJ College, Marathahalli, Bangalore",Hotel NLC Grand,No,No,NEW,0,"+91 8618674802
+91 9916666857",Marathahalli,Quick Bites,NA,"Biryani, South Indian, North Indian",300,Dine-out
45276,"CKB Layout, Chandra Layout, Marathahalli, Bangalore",Sukhi's Restaurant,No,No,2.7 /5,28,+91 7793939444,Marathahalli,Quick Bites,NA,"North Indian, Chinese, Momos",250,Dine-out
45284,"Site 14, First Floor, Door 3, Channasadra Narayana Reddy Layout, Near Milk Dairy, Marathahalli, Bangalore",Cardamom Pods,Yes,No,NEW,0,+91 9980210989,Marathahalli,Quick Bites,NA,"North Indian, Chinese",450,Dine-out
45285,"5th cross, Lakshmi Layout, Munnekolala, Marathahalli, Bangalore",New Juice It Up,No,No,NEW,0,+91 8722910914,Marathahalli,Quick Bites,NA,"Juices, Fast Food",200,Dine-out
45286,"6 NTR Enclave, Chowdeshwari Temple Road, Marathahalli, Bengaluru",Hot Biriyani Center,No,No,NEW,0,+91 9739179467,Marathahalli,Quick Bites,NA,"Biryani, Kebab",200,Dine-out
45287,"8, Ground Floor, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",Nukkad Box,No,No,3.7 /5,25,+91 9611615303,Marathahalli,Quick Bites,NA,"North Indian, Fast Food, Desserts, Beverages",400,Dine-out
45290,"39, SGR Debtal College Road, VR Layout, Near SS Bakery, Munnekolal, Marathahalli",Swadist Restaurant,No,No,3.4 /5,16,"+91 8884664884
+91 7338133408",Marathahalli,Quick Bites,NA,"Oriya, South Indian, Fast Food",300,Dine-out
45298,"Near Samsung Office, Doddanekundi, Marathahalli, Bangalore",Deepak Fast Food,No,No,3.3 /5,4,+91 9740273026,Marathahalli,Quick Bites,NA,Fast Food,350,Dine-out
45311,"Shop 217, 2 main road, Kadubeesanahalli Croma, Back Side Road Near Kumbeshwara Temple Marathahalli, Bangalore",Spicy Punjabi Pharatha,Yes,No,3.0 /5,29,"+91 7829455599
+91 7404228621",Marathahalli,Quick Bites,NA,"North Indian, Chinese, Biryani",400,Dine-out
45322,"Near Innovative Multiplex, Outer Ring Road, Marathahalli, Bangalore",Kolkata Famous Kati Rolls,No,No,3.8 /5,60,"+91 9341616154
+91 8892782739",Marathahalli,Quick Bites,NA,"Fast Food, Rolls",100,Dine-out
45334,"Near Basavanagar Bus Stop, HAL Gate, Marathahalli, Bangalore",Curries And Pickles,No,No,3.3 /5,10,"+91 9108289671
+91 8977200771",Marathahalli,Quick Bites,NA,"Andhra, North Indian, Biryani",350,Dine-out
45422,"2, Kariyappa Building, Kuvempu Road, Vignan Nagar, New Thippasandra, Thippasandra, Bangalore",Iyer Idly,No,No,4.0 /5,112,"+91 9740657406
+91 9535231068",Thippasandra,Quick Bites,Idli,South Indian,150,Dine-out
45427,"4, Near-Basavanagar Bus Stand, Vignana Nagar Talacauvery Housing Society Layout, Basavanagara, Kaggadasapura, Bangalore",Udupi Deluxe,No,No,3.8 /5,35,"+91 9902744225
+91 9945562499",Kaggadasapura,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
45441,"35, Maruthi VTB Complex, Opposite Shell Petrol Bunk, Vignanagar Main Road, New Thippasandra, Bangalore",Sankranthi Veg,No,No,3.1 /5,15,"+91 9379668573
+91 9901531114",Thippasandra,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Dine-out
45459,"1st Cross, Vignan Nagar, Kuvempu Road, CV Raman Nagar, Bangalore",Shake it Off,Yes,No,3.6 /5,15,+91 7829054321,CV Raman Nagar,Beverage Shop,NA,"Beverages, Fast Food",600,Dine-out
45464,"13, Ramaiah, Reddy Colony, Basavananagar, Kaggadasapura, Bangalore",Kanti's,No,No,3.4 /5,28,"080 65835981
080 25238989",Kaggadasapura,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",300,Dine-out
45474,"35, Sharada Enclave, Kuvempu Road, Sector B, Vignan Nagar, Kaggadaspua, Bangalore",Kerala Cafe,No,No,3.2 /5,4,"+91 7338539969
+91 8606453753",Kaggadasapura,Quick Bites,NA,"Kerala, South Indian, North Indian",300,Dine-out
45486,"Kariyammana Agrahara Rd, HAL Airport Area, Old Airport Road, Bangalore",Amrutha Foods,No,No,NEW,0,"+91 9951130511
+91 7981974589",Old Airport Road,Quick Bites,NA,South Indian,300,Dine-out
45507,"Maruthi VTB Complex, Vignan Nagar Main Road, Thippasandra, Bangalore",Ambur Hot Dum Biryani,No,No,3.0 /5,9,+91 9443858059,Thippasandra,Quick Bites,NA,Biryani,200,Dine-out
45815,"Ground Floor, Swami Vivekanand Road, Lido Multiplex No ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â¼, MG Road, Bangalore",UBQ by Barbeque Nation,Yes,No,3.2 /5,10,+91 7090757020,MG Road,Delivery,NA,"North Indian, BBQ, Biryani, Kebab",450,Delivery
46316,"21/24, Next to Trinity Metro Station, MG Road, Bangalore",Vasudev Adiga's,No,No,2.5 /5,301,"+91 8496018666
080 40923562",MG Road,Quick Bites,"Filter Coffee, Rava Dosa, Masala Dosa, Tea, Pav Bhaji, Manchurian, Dahi Vada","South Indian, North Indian, Chinese, Street Food",250,Delivery
46756,"36, Public Utility Building, 1st Floor, MG Road, Bangalore",RS Shiv Sagar,No,No,4.1 /5,268,"080 41251493
080 25593840",MG Road,Casual Dining,"Biryani, Roti, Sweet Corn Soup, Pav Bhaji, Broccoli Soup, Masala Dosa, Manchow Soup","North Indian, Mexican, Continental, Street Food",600,Dine-out
46778,"Shop 18, Ramanashree Arcade, MG Road, Bangalore",Pizza Hut,Yes,No,3.6 /5,37,"+91 9886340922
+91 9964827578",MG Road,Casual Dining,Pizza,"Pizza, Fast Food",750,Dine-out
46780,"44, Spencer Building, MG Road, Bangalore",Cafe Coffee Day The Lounge,No,No,3.7 /5,30,+91 7483350284,MG Road,Cafe,NA,"Cafe, Fast Food",900,Dine-out
46807,"105, Dickenson Road, Commercial Street Area, Commercial Street, Bangalore",Vasudev Adiga's,No,No,3.8 /5,86,080 41135857,MG Road,Quick Bites,"Masala Dosa, Idli, Vada, Filter Coffee","South Indian, North Indian, Chinese, Street Food",250,Dine-out
47417,"30, Leemans Complex, Cunningham Road, Bangalore",Indira Darshini,No,No,3.1 /5,6,NA,Cunningham Road,Quick Bites,NA,"South Indian, Chinese",200,Dine-out
47469,"30/1, Near Indian Express, Cunningham Road, Bangalore",Rahhams,Yes,No,2.8 /5,157,080 22208700,Cunningham Road,Casual Dining,"Mutton Biryani, Mutton Chops, Ghee Rice, Pahadi Kebab, Butter Naan","Mughlai, North Indian, Chinese",700,Dine-out
47690,"27, Third Floor, Aljosan, New BEL Road, Bangalore",Chapter One Bar | Maiin,No,Yes,4.2 /5,997,080 49652764,New BEL Road,"Bar, Casual Dining","Chilli Potatoes, Pasta, Pizza, Murgh Ghee Roast, Beer, Cocktails, Roast Chicken","Continental, Italian, North Indian","1,400",NA
47692,"10, 1st Floor, New BEL Road, Bangalore",Hunan,No,Yes,4.0 /5,820,"080 23413337
080 23413338",New BEL Road,Casual Dining,"Rice Noodles, Dragon Chicken, Momos, Clear Soup, Hakka Noodles, Chop Suey, Salad","Chinese, Thai, Momos","1,100",Buffet
47693,"Gokulam Grand Hotel & Spa, 115, Gokula Extension, HMT Road (Near BEL circle), New BEL Road, Bangalore",My Place - Gokulam Grand Hotel & Spa,No,Yes,4.2 /5,426,"+91 8043001000
+91 8043001027",New BEL Road,"Casual Dining, Lounge","Paratha, Butter Chicken, Burgers, Sunday Brunch, Cocktails, Akki Rottis, Pasta","Continental, Asian, South Indian, North Indian","1,800",Buffet
47695,"84, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",Truffles,No,No,4.7 /5,3912,"080 23410222
+91 9611198000",New BEL Road,"Cafe, Casual Dining","Burgers, Pasta Arrabiata, Ferrero Rocher Milkshake, Veg Pattice, Pesto Pasta, Rolls, Salads","Cafe, American, Burger, Steak",900,Cafes
47705,"Shop #135, De Mandarin, Ground Floor, 5th Main Road, KG Layout, RMV 2nd Stage, New BEL Road, Bangalore",Andy's CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,No,No,3.1 /5,12,+91 9663128057,New BEL Road,Cafe,NA,"Cafe, Beverages, Fast Food",300,Cafes
47710,"205, New BEL Road, Bangalore",THE BEL ST.,No,No,3.9 /5,523,"+91 9880074252
080 41678314",New BEL Road,"Cafe, Casual Dining","Pizza, Coffee, Pasta, Nachos, Mocktails, Fish, Sandwich","Cafe, Italian, American, Continental","1,100",Cafes
47716,"Shop 67, 69, 70, Inside Ramaiah Campus, New BEL Road, Bangalore",Chaiywaala Da Dhaba,Yes,No,3.7 /5,67,"+91 8217431260
+91 7975991975",New BEL Road,Cafe,"Ginger Chai, Pakoda, Tea, Paneer Thali, Chole Bhature","Cafe, Tea",250,Cafes
47719,"Gokulam Grand Hotel & Spa, 115, Gokula Extension, HMT Road (Near BEL Circle), New BEL Road, Bangalore",Swiss Bakery Cafe - Gokulam Grand Hotel & Spa,No,No,3.3 /5,6,+91 8043001000,New BEL Road,"Cafe, Bakery",NA,"Cafe, Bakery",400,Cafes
47720,"206, Ground Floor, Near MS Ramaiah Campus, New BEL Road, Bangalore",Brewbakes,No,No,3.3 /5,7,+91 9620517485,New BEL Road,Cafe,NA,"Cafe, Pizza, Italian, Sandwich",450,Cafes
47728,"D Block, Sahakara Nagar, Bangalore",Behrouz Biryani,Yes,No,4.1 /5,187,+91 7700050050,Sahakara Nagar,Delivery,"Gulab Jamun, Raita, Mutton Biryani",Biryani,650,Delivery
47732,"Shop 19, Diamond Arcade, 60 Feet Road, F Block, Sahakara Nagar, Bangalore",Keventers,Yes,No,3.9 /5,17,091 8043755075,Sahakara Nagar,"Beverage Shop, Dessert Parlor",NA,"Desserts, Beverages, Ice Cream",400,Delivery
47735,"21, 1st Floor, 1st Cross, RMV 2nd Stage, Bhoopsandra, Near Aiswariya Apartments, Sanjay Nagar, Bangalore",Tasty Box,Yes,No,3.0 /5,29,"+91 9731038979
+91 9035333168",Sanjay Nagar,Quick Bites,NA,"North Indian, Chinese, Seafood",500,Delivery
47740,"Vacuum House 1, Chikkamaranahalli, New BEL Road, Bangalore",Paradise,Yes,No,4.0 /5,1586,"+91 9513477573
+91 9886225506",New BEL Road,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Chicken Biryani, Vegetable Biryani, Faluda, Kalmi Kabab, Chicken Kebab","Biryani, North Indian, Kebab",800,Delivery
47743,"4, 5th Main Road, MSR Nagar, Mathikere, New BEL Road, Bangalore",Delhi Mess,Yes,No,4.1 /5,498,+91 9845710492,New BEL Road,Quick Bites,"Aloo Paratha, Roti, Butter Chicken","North Indian, Chinese",300,Delivery
47744,"229, NTI Layout, Rajiiv Gandhi Nagar, Opposite NCBS Gate, Sahakara Nagar, Bangalore",Sumadhura Foods,Yes,No,3.5 /5,108,+91 7975125427,Sahakara Nagar,Quick Bites,NA,"North Indian, Fast Food",300,Delivery
47746,"1, RMV 2nd Stage, 3rd Block, Chikkamaranahalli, New BEL Road, Bangalore",Mughlai Azam,Yes,Yes,4.0 /5,117,+91 7619328882,New BEL Road,Casual Dining,"Dal Makhani, Roti, Adrak Ke Panje, Mocktails, Paratha, Lal Maans, Paneer Malai Tikka","Mughlai, Biryani, North Indian","1,400",Delivery
47747,"4, Opposite Vivekananda School, Canara Bank Layout, Sahakara Nagar, Bangalore",Cafe Nosh,Yes,No,4.2 /5,583,"+91 7337781460
+91 9380210658",Sahakara Nagar,Cafe,"Pasta Arrabiata, Pizza, Salsa, Burgers, Crispy Chicken Salad, Chicken Jumbo Burger, Nachos","Cafe, Continental, Steak",500,Delivery
47751,"282, 1st Main Road, D Block, Sahakara Nagar, Bangalore",Faasos,Yes,No,3.8 /5,204,+91 7700020020,Sahakara Nagar,Delivery,"Rolls, Sabudana Vada, Chicken Wrap, Meatballs, Chicken Overload, Biryani, Veggie Wrap","North Indian, Biryani, Fast Food",500,Delivery
47753,"11, MES Road, Jalahalli Village, Near Goraguntapalya Railway Over Bridge, Jalahalli, Bangalore",Udupi South Saviruchi,Yes,No,3.7 /5,15,+91 9972782609,Jalahalli,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",250,Delivery
47754,"99, Kalpana Chawla Road, RMV 2nd Stage, Sanjay Nagar, Bangalore",Natural Veg,Yes,No,3.1 /5,22,"+91 8043706981
+91 8197920008",Sanjay Nagar,Quick Bites,NA,"North Indian, Street Food",250,Delivery
47755,"959, 1st Floor, 5th Block Main Road, Vidyaranyapura, Bangalore",Beijing Bites,Yes,No,3.8 /5,198,"080 40945088
080 40945188",New BEL Road,Casual Dining,"Salads, Chowmein, Chilli Chicken","Chinese, Thai",850,Delivery
47758,"2576, E Block, Sahakara Nagar, Bangalore",Hunan King's,Yes,No,2.9 /5,123,"080 41488488
080 41488688",Sahakara Nagar,Casual Dining,"Satay Kai, Fish, Vegetable Noodles","Chinese, Thai, Momos",800,Delivery
47760,"2, 100FT Road, MK Nagar, Behind JP Park, Near Chowdeshwari Bus Stop, Yeshwantpur, Bangalore",Food Lounge,Yes,No,3.1 /5,52,"+91 7619447717
080 23575777",Yeshwantpur,Quick Bites,NA,North Indian,400,Delivery
47763,"Near Big Bazar, Maruti Arcade, Kasada Hobli Koti Hosahalli, Outer Ring Road, Nagashetty Halli, Sanjay Nagar, Bangalore",Wok Chow,Yes,No,3.9 /5,163,"+91 8197002190
+91 7975759737",Sanjay Nagar,Quick Bites,"Momos, Shanghai Chicken","Chinese, Thai, Momos",300,Delivery
47764,"6, Vijayshree Arcade, Abbigere Main Road, Kammagondahalli, Jalahalli, Bangalore",Samskruthi Grand,Yes,No,3.7 /5,67,"+91 9035541114
00 07019199999",Jalahalli,Quick Bites,NA,"South Indian, Chinese, North Indian",350,Delivery
47766,"115, Kammagondana Halli Main Road, Kammagondahalli, Jalahalli, Bangalore, Karnataka",Parijatha Fish Land,Yes,No,3.5 /5,8,00 07338333363,Jalahalli,Casual Dining,NA,Seafood,400,Delivery
47769,"13, 1st Floor, Postal Colony, Near Radha Krishna Temple, Opposite Water Tank, Sanjay Nagar, Bangalore",D-Zaprino,Yes,No,4.0 /5,449,"+91 9916957650
+91 9916957618",Sanjay Nagar,"Takeaway, Delivery","Burgers, French Fries, Big Daddy Burger, Maggi, Sweet Corn Pizza, Omelette, Sandwich","Fast Food, Pizza",400,Delivery
47771,"21, BEL Road, Indian Bank, Chickkamaranahalli, New BEL Road, Bangalore",Akshaya Deluxe,Yes,No,4.0 /5,336,"080 23602432
080 23602433",New BEL Road,Casual Dining,"Sea Food, Chicken Biryani, Naan, Neer Dosa, Chicken Curry, Mutton Biryani, Roti","North Indian, Chinese, Seafood, Biryani",500,Delivery
47772,"504, 60 feet Road, 20th Main, Sahakara Nagar, Bangalore",Lassi Shop,Yes,No,3.8 /5,76,"+91 8041142207
+91 9845789264",Sahakara Nagar,"Beverage Shop, Quick Bites","Lassi, Faluda, Kulfi","Beverages, Juices, Ice Cream, Fast Food",100,Delivery
47775,"E-04, 1st Cross Road, Patellapa Layout, Nagashetty Halli, RMV 2nd, Sanjay Nagar, Bangalore",Chinese Corner and Bengali Mess,Yes,No,3.5 /5,28,+91 7795546005,Sanjay Nagar,Mess,NA,"Chinese, Bengali",300,Delivery
47778,"Number 33, 3rd Main Road, Mathikere",PRS Indian Food Restaurant,Yes,No,2.9 /5,49,+91 8495059555,Yeshwantpur,Quick Bites,NA,"Chinese, North Indian, South Indian",200,Delivery
47781,"Near M.S. Ramaiah Hospital, New BEL Road, Bangalore",Wow Momo,Yes,No,3.7 /5,46,"+91 9739026289
+91 9739167691",New BEL Road,Quick Bites,NA,"Tibetan, Momos",400,Delivery
47782,"3, Devasandra, New BEL Road, Bangalore",Pizza Hut,Yes,No,3.6 /5,436,"080 39883988
080 23413999",New BEL Road,Casual Dining,"Pasta, Garlic Bread, Wedges, Veg Supreme Pizza, Pane Pizza, Masala Lemonade, Salads","Pizza, Fast Food",750,Delivery
47783,"Plot 117, Shop 1, Ground & 1st Floor, AEGS Layout, New BEL Road, Bangalore",KFC,Yes,No,3.9 /5,581,080 33994444,New BEL Road,Quick Bites,"Burgers, Chicken Grill, Chicken Popcorn, Hot Wings","Burger, Fast Food",400,Delivery
47784,"2705, Behind More Super Market, E Block, Sahakara Nagar, Bangalore",New Punjabi Pure Veg Restaurant,Yes,No,3.1 /5,151,080 49652111,Sahakara Nagar,Quick Bites,NA,"North Indian, Chinese",450,Delivery
47785,"10, 5th main, RMV, New BEL Road, Bangalore",Biriyani Hub,Yes,No,3.0 /5,30,"+91 7338062316
+91 9739356343",New BEL Road,Delivery,NA,"Fast Food, Biryani, Seafood, South Indian",400,Delivery
47787,"HMT Main Road, Inside compound of HMT Cinemas, Jalahalli, Bangalore",The Momo Farm,Yes,No,3.7 /5,25,+91 7337687243,Jalahalli,Quick Bites,NA,"Chinese, Tibetan",300,Delivery
47789,"Century Corbel, 20th Main Road, Park View Layout, Sahakara Nagar, Bangalore",The Belgian Waffle Co.,Yes,No,3.7 /5,15,+91 6363282466,Sahakara Nagar,Dessert Parlor,NA,"Desserts, Beverages",350,Delivery
47791,"543, Old 12, 2nd Cross, Devasandra, New BEL Road, Bangalore",Shri Udupi Cafe,Yes,No,3.9 /5,31,"+91 9035336123
+91 7349029190",New BEL Road,Quick Bites,NA,"South Indian, North Indian, Mughlai, Chinese, Street Food, Beverages",300,Delivery
47793,"561, Mosque Complex, Opposite Ganesh Temple, New BEL Road, Bangalore",Chicken County,Yes,No,3.2 /5,192,"080 23514456
+91 9845431720",New BEL Road,Quick Bites,"Tandoori Chicken, Rolls, Punjabi Chicken, Hyderabadi Biryani, Butter Chicken","Chinese, North Indian",400,NA
47795,"282, 1st Main Road D-Block, Sahakara Nagar, Bangalore",Firangi Bake,Yes,No,3.9 /5,76,+91 7710090007,Sahakara Nagar,Delivery,Paratha,"Mexican, Italian",600,Delivery
47796,"40/1, Third Floor, Century Corbel Commercial, Sahakara Nagar, Bangalore",The Druid Garden,Yes,Yes,4.3 /5,3077,080 49652121,Sahakara Nagar,"Microbrewery, Casual Dining","Beer, Crab Ravioli, Cocktails, Donne Biryani, Chicken Tacos, Tiramisu, Seafood Ravioli","Asian, Continental, European, North Indian, Mediterranean","1,700",NA
47798,"282, 1st Main Road, D-Block, Sahakara Nagar, Bangalore",Ovenstory Pizza,Yes,No,4.0 /5,120,+91 7738383000,Sahakara Nagar,Delivery,Pizza,Pizza,800,Delivery
47800,"412, Third Block, 4th Main Road, Opposite Canara Bank, BEL Layout 3rd Block, BEL Layout, Vidyaranyapura, New BEL Road, Bangalore",Navab's,Yes,No,4.0 /5,21,+91 7065787888,New BEL Road,Delivery,NA,"North Indian, Mughlai, Chinese",600,Delivery
47801,"10, AnvitaÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â’s Kitchen, 17/12, Kodigehalli Main Road, Opposite Punjab National Bank, Next to Sterling Apartments, Sahakara Nagar, Bangalore",KHOPCHA,Yes,No,4.0 /5,154,+91 8884448434,Sahakara Nagar,Takeaway,"Veggie Roll, Noodles, Prawn Rolls, Manchurian, Chicken Roll","Fast Food, Rolls, Kebab",200,Delivery
47804,"850/2, Ground Floor, Sai Sumukh Complex, 1st Main Road, Sahakara Nagar, Bangalore",Biriyani House,Yes,Yes,3.8 /5,258,"+91 8064556455
+91 8050990033",Sahakara Nagar,Casual Dining,"Butter Chicken, Basmati Rice, Chicken Biryani, Hyderabadi Biryani","Andhra, Biryani, North Indian, Chinese",600,Delivery
47805,"34/A, Dollars Colony Circle, Devasandra, New BEL Road, Bangalore",Shanthi Sagar,Yes,No,3.9 /5,111,080 23604601,New BEL Road,Quick Bites,"Vada, Coffee, Vegetable Biryani, Idli, Cheese Masala Dosa, Chole Bhature","South Indian, Chinese, North Indian",300,Delivery
47809,"83, 80 Feet Road, 2nd Stage, RMV, New BEL Road, Bangalore",Polar Bear,Yes,No,4.1 /5,322,080 49653553,New BEL Road,Dessert Parlor,"Sandwiches, Spinach Corn Sandwich, Tiramisu, Brownie, Burgers, Chocolava, Banana Split","Desserts, Ice Cream, Beverages, Sandwich",400,Delivery
47813,"577, SDA Complex, 1st Floor, Above BATA Showroom, Vidyaranyapura, New BEL Road, Bangalore",New Prashanth Hotel,Yes,No,3.1 /5,40,"+91 7349784618
+91 7349784619",New BEL Road,Casual Dining,NA,"South Indian, Biryani, Chinese, North Indian",750,Delivery
47818,"59, Chikkebettehalli, M.S Palya, Jalahalli, Bangalore",Oyalo,Yes,No,3.4 /5,16,+91 8762612411,Jalahalli,Quick Bites,NA,Pizza,300,Delivery
47822,"33-C, Ramaiah Extension, Nanjappa Layout, Vidhyaranyapura Post, New BEL Road, Bangalore",Aditya Delights,Yes,No,3.7 /5,59,"+91 8105612251
+91 8105612259",New BEL Road,Quick Bites,NA,"Chinese, North Indian, Mangalorean",300,Delivery
47828,"9, G Block, 60 Feet Road, Sahakara Nagar, Bangalore",New Shanthi Sagar,Yes,No,3.2 /5,158,"080 23623588
+91 9986989501",Sahakara Nagar,Casual Dining,"Masala Dosa, Coffee, Idli, Vada, Onion Dosa, Roti, Kulcha","South Indian, North Indian, Chinese",400,Delivery
